3,118183,118230,19
3,118230,118183,19
11,118214,195,118060
11,118214,118060,195
14,118307,417,117887
19,118297,3,118183
21,194,186,117962
21,194,186,118268
23,36,283,476
23,36,476,308
25,573,457,805
31,223,118104,368
31,118104,223,368
34,171,118267,118067
34,118267,171,118067
36,118318,283,316
39,138,343,118178
43,164,118010,118116
43,164,118116,118010
44,145,118209,118286
44,145,118286,118209
48,133,102,151
50,118288,118234,118003
55,118144,117815,631
58,330,118112,117884
58,118112,330,117884
63,119,424,404
67,136,400,118048
73,302,379,142
75,107,118306,117941
87,91,154,118298
88,522,107,117941
88,522,117605,709
89,118259,466,118032
90,151,102,118256
91,87,154,118298
99,181,164,118116
102,151,90,48
105,117355,123,1756
105,117355,123,116757
106,175,323,118264
107,75,118306,117941
109,118268,118320,21
114,423,392,117997
115,118179,118092,118007
119,63,498,424
121,228,502,410
122,596,1623,1706
123,118093,270,597
124,418,181,118090
128,118117,270,597
133,48,102,117880
133,48,117880,102
136,67,496,504
137,288,254,300
138,39,343,301
142,302,73,379
145,159,44,118286
150,158,456,277
150,158,456,118107
151,102,90,490
154,91,87,118298
158,150,118210,456
159,145,118286,44
164,43,99,118116
164,99,43,118116
171,34,118267,399
175,106,323,497
178,305,761,606
178,118076,305,117860
179,454,887,873
179,118205,454,117978
179,118205,117978,117980
181,99,124,526
183,349,328,345
186,194,21,510
194,186,21,603
195,11,297,591
195,11,591,297
199,503,258,378
213,118289,118264,800
216,254,137,288
216,254,288,137
217,118027,117166,116496
220,432,118177,394
221,118068,760,2142
223,31,368,118104
228,121,502,410
238,118278,646,724
238,118278,118081,646
242,706,655,118127
242,706,732,413
243,468,118246,117853
244,508,625,626
244,508,626,625
253,255,118302,118198
254,216,288,137
255,253,118302,118198
258,482,493,503
270,597,128,118093
274,505,531,695
276,598,118275,118301
277,413,546,150
278,472,641,118243
282,118176,276,493
282,118176,493,276
283,316,36,118318
288,137,300,365
288,137,365,300
288,300,137,365
288,300,365,137
288,365,137,300
288,365,300,137
290,396,328,118292
294,448,368,118235
297,195,118097,497
300,365,288,137
301,343,602,138
301,343,602,529
302,73,142,379
302,73,379,142
305,345,512,349
308,378,476,704
316,283,36,118318
317,938,1292,446
322,857,118135,118276
322,118135,857,118276
323,175,497,106
328,183,349,345
330,58,118112,118303
336,755,531,142
343,138,301,39
345,349,512,183
347,118287,118259,466
349,345,512,183
355,520,462,771
355,520,118115,117789
357,865,117749,117303
365,300,288,137
368,448,223,294
370,469,420,118306
372,1309,377,1647
372,1309,377,117326
374,461,394,689
377,372,117749,117326
378,308,704,199
379,302,73,422
392,423,650,114
394,374,461,689
396,430,290,118292
398,518,848,746
399,607,171,410
400,67,136,496
404,424,63,498
410,502,228,171
413,546,277,732
417,14,438,118307
418,124,181,526
420,370,469,118288
422,379,440,73
423,392,650,114
423,392,650,563
424,404,498,63
430,396,655,290
430,396,655,118292
432,220,394,689
432,220,689,394
438,635,700,664
438,664,635,700
438,700,635,664
438,700,664,635
440,422,1629,379
440,422,1629,117371
441,567,726,158
443,154,87,91
443,154,91,87
445,605,118249,612
445,605,118249,118197
446,819,1425,648
448,294,368,675
453,145,44,159
454,669,179,887
456,150,158,277
457,490,573,90
457,573,490,90
458,649,692,671
461,374,394,689
462,355,671,771
466,697,622,89
468,243,621,798
469,370,420,118306
472,278,641,945
472,641,278,945
476,704,308,283
482,493,258,729
490,151,90,102
490,151,102,90
493,482,729,258
496,504,136,754
497,323,175,106
498,424,119,404
502,540,410,728
503,199,258,759
504,496,754,716
505,274,531,695
508,626,625,525
510,186,194,954
510,186,954,194
512,345,349,305
512,345,349,328
518,398,848,874
518,398,848,940
519,785,118121,809
520,355,771,462
522,88,944,744
525,508,712,737
525,712,508,737
526,181,99,836
526,181,836,99
529,602,696,646
529,696,602,646
531,505,274,755
540,502,544,728
544,677,540,502
546,413,277,732
560,636,688,720
560,636,720,688
563,652,659,619
563,659,652,619
567,441,726,158
573,805,457,25
581,682,603,710
591,767,817,841
596,122,1623,1838
597,270,128,118093
598,740,276,773
602,696,529,301
603,710,581,909
605,445,612,1114
606,810,255,688
607,399,716,754
612,605,445,118249
619,652,659,563
620,117751,116717,3114
621,798,1146,115
622,691,466,697
622,691,697,466
625,626,508,714
626,625,508,714
626,625,714,508
631,809,118322,55
634,699,880,1049
635,664,700,803
636,720,560,878
640,625,880,626
640,625,880,1030
641,472,278,945
646,893,529,932
647,829,648,1531
648,829,647,819
649,458,692,671
649,458,692,1053
650,392,677,423
652,659,619,563
655,928,430,706
659,652,619,563
664,635,700,803
669,454,910,343
669,454,910,887
671,818,462,649
675,448,900,368
677,544,852,540
682,581,109,802
682,581,603,710
688,937,560,1071
689,394,432,1048
691,838,859,622
692,649,458,443
695,505,1042,274
696,602,529,983
697,466,622,981
698,1126,865,965
699,634,880,1049
700,664,635,803
701,918,128,118014
701,918,128,118117
704,476,308,378
706,732,881,928
709,765,1181,1487
710,603,909,581
710,603,909,1103
712,737,714,525
714,712,737,626
714,737,712,626
716,754,824,504
717,769,1107,417
717,769,1107,870
720,636,878,964
724,878,720,1072
726,913,567,441
728,852,540,502
728,852,540,956
729,759,493,482
