48752,7.84,149.140022485,-89.7823799236,0.04
71348,6.82,218.862733651,-89.7717575819,0.19
42708,7.2,130.530749641,-89.4605950847,0.04
78866,7.83,241.467203342,-89.3087351871,0.05
54065,7.54,165.919511238,-89.2390969171,0.04
104382,5.45,317.201723346,-88.9564759903,0.06
112355,6.55,341.380842062,-88.8184577958,0.03
30678,7.36,96.6963912929,-88.7436236314,0.03
76725,7.58,235.023069741,-88.6547443818,0.05
60041,6.63,184.686535768,-88.4148778878,0.03
22379,7.17,72.2619019732,-88.2711072562,0.12
75736,6.49,232.067066544,-88.1333801501,0.03
20325,7.5,65.3267419606,-87.8126287939,0.04
40861,7.64,125.072935513,-87.7274886178,0.05
75386,7.5,231.061941608,-87.7122331307,0.05
92824,5.29,283.692373098,-87.6064632881,0.02
84461,6.58,258.984034804,-87.5669903174,0.02
64690,7.11,198.836364848,-87.5613948296,0.03
88018,7.66,269.671797469,-87.3646816372,0.05
111644,7.47,339.247610672,-87.3202738174,0.03
32500,6.46,101.744459226,-87.0249450817,0.02
52065,7.51,159.580315831,-86.8969624285,0.03
86410,7.56,264.844485192,-86.8852010799,0.04
103426,7.61,314.313000883,-86.7809034287,0.04
66710,7.64,205.10860083,-86.7252104237,0.04
40514,6.76,124.06918726,-86.5570840268,0.04
50605,7.8,155.052158356,-86.5566900378,0.05
73791,7.69,226.234600781,-86.4713702499,0.04
72636,7.69,222.760355467,-86.3947208013,0.05
83255,6.05,255.244416258,-86.36429709,0.03
54474,6.87,167.169230891,-86.2309063682,0.07
60638,6.32,186.408977899,-86.1506428511,0.03
100793,7.57,306.551795068,-86.1047575739,0.04
51472,6.64,157.705430524,-86.0906977282,0.02
620,7.39,1.90553757846,-86.0387271631,0.04
46892,7.08,143.32017467,-86.0101570269,0.38
46870,7.6,143.259052699,-86.0097422042,0
111196,5.76,337.903862498,-85.9669724593,0.02
26661,6.77,84.9951518705,-85.9142944342,0.03
66323,7.12,203.879384018,-85.824310466,0.04
66753,5.56,205.225697129,-85.7861397821,0.02
54279,7.26,166.55395964,-85.7487987407,0.04
10993,7.82,35.4197480577,-85.7180437649,0.04
115928,7.42,352.318479518,-85.7094640667,0.04
3114,6.81,9.92516921769,-85.7009310017,0.02
43908,5.43,134.163729737,-85.6629976714,0.01
105581,7.22,320.777690681,-85.6387110383,0.18
56706,7.47,174.398962349,-85.4864318829,0.04
3053,7.74,9.68276551568,-85.4125723099,0.04
105628,7.89,320.917449179,-85.2884656576,0.04
51723,7.66,158.522886862,-85.2814762356,0.05
17328,6.4,55.6379900886,-85.2618522622,0.03
88274,6.45,270.392161653,-85.21549129,0.03
108129,6.59,328.591614299,-85.0335068585,0.02
12078,7.22,38.9260117846,-85.0170523614,0.03
82768,7.79,253.727086768,-85.0100796501,0.05
1074,5.78,3.33233394136,-84.9938986383,0.06
55746,7.64,171.321433399,-84.9544838615,0.04
106320,6.42,323.014355885,-84.8102056236,0.03
74296,5.88,227.786889238,-84.787793574,0.03
25776,6.18,82.5575215533,-84.7849010151,0.14
