48752,7.84,149.140022485,-89.7823799236,71348,42708,54065
71348,6.82,218.862733651,-89.7717575819,48752,78866,42708
42708,7.2,130.530749641,-89.4605950847,48752,54065,71348
78866,7.83,241.467203342,-89.3087351871,71348,76725,48752
54065,7.54,165.919511238,-89.2390969171,42708,48752,71348
104382,5.45,317.201723346,-88.9564759903,112355,71348,78866
112355,6.55,341.380842062,-88.8184577958,104382,71348,48752
30678,7.36,96.6963912929,-88.7436236314,22379,42708,48752
76725,7.58,235.023069741,-88.6547443818,75736,78866,75386
60041,6.63,184.686535768,-88.4148778878,54065,64690,76725
22379,7.17,72.2619019732,-88.2711072562,20325,30678,42708
75736,6.49,232.067066544,-88.1333801501,75386,76725,84461
20325,7.5,65.3267419606,-87.8126287939,22379,30678,32500
40861,7.64,125.072935513,-87.7274886178,40514,32500,30678
75386,7.5,231.061941608,-87.7122331307,75736,76725,84461
92824,5.29,283.692373098,-87.6064632881,88018,84461,86410
84461,6.58,258.984034804,-87.5669903174,88018,86410,92824
64690,7.11,198.836364848,-87.5613948296,66710,60041,75386
88018,7.66,269.671797469,-87.3646816372,84461,86410,92824
111644,7.47,339.247610672,-87.3202738174,111196,103426,112355
32500,6.46,101.744459226,-87.0249450817,40861,40514,26661
52065,7.51,159.580315831,-86.8969624285,50605,54474,51472
86410,7.56,264.844485192,-86.8852010799,88018,84461,83255
103426,7.61,314.313000883,-86.7809034287,100793,105581,111644
66710,7.64,205.10860083,-86.7252104237,64690,66323,66753
40514,6.76,124.06918726,-86.5570840268,43908,40861,32500
50605,7.8,155.052158356,-86.5566900378,52065,51472,54474
73791,7.69,226.234600781,-86.4713702499,72636,75386,66710
72636,7.69,222.760355467,-86.3947208013,73791,66710,66753
83255,6.05,255.244416258,-86.36429709,86410,84461,88018
54474,6.87,167.169230891,-86.2309063682,54279,51472,52065
60638,6.32,186.408977899,-86.1506428511,56706,66323,54474
100793,7.57,306.551795068,-86.1047575739,103426,105581,105628
51472,6.64,157.705430524,-86.0906977282,50605,54474,54279
620,7.39,1.90553757846,-86.0387271631,3114,115928,3053
111196,5.76,337.903862498,-85.9669724593,115928,108129,105581
26661,6.77,84.9951518705,-85.9142944342,25776,32500,20325
66323,7.12,203.879384018,-85.824310466,66753,66710,60638
66753,5.56,205.225697129,-85.7861397821,66323,66710,72636
54279,7.26,166.55395964,-85.7487987407,54474,56706,51472
10993,7.82,35.4197480577,-85.7180437649,12078,8976,7568
115928,7.42,352.318479518,-85.7094640667,620,111196,1074
3114,6.81,9.92516921769,-85.7009310017,3053,620,1074
43908,5.43,134.163729737,-85.6629976714,45532,40514,39998
105581,7.22,320.777690681,-85.6387110383,105628,106320,108129
56706,7.47,174.398962349,-85.4864318829,55746,54279,54474
3053,7.74,9.68276551568,-85.4125723099,3114,1074,620
105628,7.89,320.917449179,-85.2884656576,105581,106320,105274
51723,7.66,158.522886862,-85.2814762356,54279,51472,55746
17328,6.4,55.6379900886,-85.2618522622,19732,19890,12078
88274,6.45,270.392161653,-85.21549129,90509,87414,82768
108129,6.59,328.591614299,-85.0335068585,106320,105628,110428
12078,7.22,38.9260117846,-85.0170523614,10993,8976,7568
82768,7.79,253.727086768,-85.0100796501,83255,88274,87414
1074,5.78,3.33233394136,-84.9938986383,3053,3114,620
55746,7.64,171.321433399,-84.9544838615,56706,54279,51723
106320,6.42,323.014355885,-84.8102056236,105274,105628,108129
74296,5.88,227.786889238,-84.787793574,76996,74187,71404
25776,6.18,82.5575215533,-84.7849010151,23824,26661,19732
7568,5.66,24.3684183769,-84.7694856943,8976,10993,12078
105274,7.76,319.860547864,-84.7567066549,106320,105628,108129
8976,6.97,28.925719541,-84.7511405028,7568,12078,10993
95781,7.7,292.229680658,-84.720517186,93481,94347,90509
110428,8.73,335.51040163,-84.6663045861,108129,107823,112372
45532,7.14,139.191898018,-84.6602293824,45061,43908,39998
69487,6.78,213.388661328,-84.5446219058,71404,70638,66660
19732,7.2,63.4444867344,-84.4857547928,19890,17328,21480
34753,7.53,107.909549423,-84.4693271282,33675,32435,39998
76996,5.57,235.827049304,-84.4648295464,74296,74187,73540
39998,7.73,122.527697465,-84.4447992382,34753,43908,45532
102205,6.94,310.644126079,-84.4072284233,105274,100697,106320
90509,6.49,277.02738607,-84.3872975668,87414,93481,92509,88274
19890,6.99,64.0010683911,-84.1810055219,19732,21480,20446
71404,7.18,219.026223305,-84.1484034114,70638,69487,74187
87414,7.63,267.966639884,-84.1111903206,90509,88274,85530
32435,7.46,101.557233184,-83.9912458417,33675,34753,32351
107823,7.64,327.660509385,-83.9610553269,109415,107267,106320
93481,7.5,285.559925189,-83.9398523142,92509,93117,94347
74187,7.83,227.392295838,-83.9095650453,73540,74296,73771
66660,7.22,204.990204284,-83.9082571989,69487,68647,70638
117347,7.8,356.907028746,-83.861703404,117825,1074,117066
23824,6.8,76.8301116993,-83.8592229399,21480,25776,19890
60912,6.61,187.251525277,-83.80263703,59404,63967,56996
59404,7.38,182.788282705,-83.7781819022,60912,56996,55746
33675,7.42,104.938345981,-83.7519533749,32435,34753,32351
112372,7.85,341.407356396,-83.7420304778,109415,110428,113807
45061,7.57,137.67223114,-83.7414708471,45532,44800,46557
70638,4.31,216.72616139,-83.6679436293,71404,70418,69487
5084,7.37,16.2856815475,-83.5902463825,7637,8018,7601
92509,7.66,282.790205007,-83.5630296085,93117,92586,93481
14700,7.61,47.4738957842,-83.531457381,12078,19890,17328
21480,7.15,69.1940790632,-83.4962274494,20446,19890,23824
94347,7.26,288.054908164,-83.4842848785,93117,93481,92509
