3,19,117844,118230
3,19,118230,118297
3,117622,117844,118230
3,117844,19,118230
3,117844,117622,118230
19,3,117844,118230
19,3,118230,118297
31,294,117953,118104
31,294,118104,117953
31,117866,117953,118104
31,117866,118104,117953
31,117953,294,118104
31,117953,117866,118104
31,117953,118104,294
31,117953,118104,117866
31,118104,294,117953
31,118104,117866,117953
31,118104,117953,294
31,118104,117953,117866
50,118003,117976,117782
58,117705,117884,118112
58,117884,117705,118112
63,119,117834,117565
63,118214,424,119
105,1756,117355,123
105,117355,123,1756
106,323,497,118264
106,323,118264,497
106,497,323,118264
106,497,118264,323
106,1043,323,497
106,1043,497,323
106,118162,323,118264
106,118162,118264,323
106,118162,118264,118289
106,118162,118289,118264
106,118264,323,497
106,118264,497,323
107,75,469,118306
107,75,118306,469
107,75,118306,117941
107,88,75,117941
107,469,75,118306
107,469,118306,75
107,744,75,469
107,744,469,75
107,118306,75,469
107,118306,75,117941
107,118306,469,75
109,581,603,682
109,581,682,603
109,603,581,682
109,603,682,581
109,682,581,603
109,682,603,581
121,540,502,228
122,1706,829,647
122,116250,116653,115247
123,105,1756,117355
123,105,117355,1756
123,270,597,118093
123,270,118093,597
123,1756,105,117355
123,1756,117355,105
123,117355,105,1756
123,117355,1756,105
124,99,181,118090
124,99,118090,181
124,181,99,118090
124,181,118090,99
124,181,118090,117830
124,418,181,118090
124,418,330,181
124,418,118090,181
124,118090,99,181
124,118090,181,99
124,118090,181,117830
128,270,597,118093
128,270,597,118117
128,270,118093,597
128,270,118117,597
128,701,918,118117
128,918,701,118117
128,918,118117,701
128,117893,270,118117
128,117893,701,918
128,117893,918,701
128,117893,116932,118117
128,117893,118117,116932
128,118117,701,918
133,118256,102,457
133,118256,457,102
136,969,496,400
145,159,906,453
145,159,118286,118293
145,906,159,453
145,118286,159,118293
150,158,118151,456
150,158,118151,118107
150,277,158,456
150,277,158,118107
150,277,413,546
150,277,546,413
150,118151,158,456
150,118151,158,118107
154,443,87,91
154,443,91,87
154,118298,87,91
154,118298,91,87
158,150,277,456
158,150,277,118107
158,150,118151,456
158,150,118151,118107
158,567,456,726
158,567,726,456
158,118151,150,456
158,118151,150,118107
159,118286,117881,118293
159,118286,118293,117881
171,34,117915,118067
171,34,118067,117915
171,399,34,228
171,399,34,607
171,399,34,118067
183,305,349,512
183,305,512,349
183,349,305,512
183,349,512,305
183,512,305,349
183,512,349,305
183,118277,349,512
183,118277,349,118034
183,118277,512,349
183,118277,118034,349
238,646,118278,724
238,724,646,118278
238,724,118278,646
238,118081,646,118278
238,118081,117813,118278
238,118081,118278,646
238,118081,118278,117813
238,118278,724,646
253,688,810,118302
253,688,118302,810
253,810,688,118302
253,810,118302,688
253,1046,688,810
253,1046,688,118302
253,1046,810,688
253,1046,118302,688
253,118302,688,810
253,118302,810,688
258,199,378,118087
258,199,118087,378
258,378,199,118087
258,118087,378,199
270,123,597,118093
270,123,118093,597
270,597,1461,1549
270,1461,1549,597
270,1549,597,1461
270,1549,1461,597
274,695,505,1042
277,150,158,456
277,150,158,118107
277,150,413,546
277,150,546,413
277,158,150,456
277,158,150,118107
277,242,413,732
277,242,732,413
277,413,242,732
277,413,546,732
277,413,732,242
277,413,732,546
277,546,413,732
277,546,732,413
277,732,242,413
277,732,413,242
277,732,413,546
277,732,546,413
278,347,118036,118287
278,347,118287,118036
278,118036,347,118287
278,118036,118287,347
278,118287,347,118036
278,118287,118036,347
294,31,117953,118104
294,31,118104,117953
294,117953,31,118104
294,117953,118104,31
294,118104,31,117953
294,118104,117953,31
297,117979,195,497
297,117979,497,195
301,696,602,529
316,118318,283,36
330,58,117884,118112
330,117884,58,118112
347,278,118036,118287
347,278,118287,118036
347,118036,278,118287
347,118036,118287,278
347,118287,278,118036
347,118287,118036,278
355,671,462,520
355,117917,462,520
357,698,117303,117749
357,698,117749,117303
357,116745,117303,117749
357,116745,117749,117303
357,117303,117749,698
357,117749,698,117303
370,420,469,118288
370,420,469,118306
370,420,118306,469
370,469,420,118288
370,469,420,118306
370,469,118288,420
370,469,118306,420
370,118288,420,469
370,118306,420,469
370,118306,469,420
377,117326,372,117749
377,117326,117749,372
379,73,440,422
